ref_code,section,field_name,field_description,option,option_decription
A0072,Offers & Incentives,incentive_floor_pct,typical minimum discount (or blank),15%,A mid-range discount that balances urgency with profitability.
A0073,Offers & Incentives,incentive_floor_pct,typical minimum discount (or blank),20%,A compelling savings level that drives stronger conversion rates.
A0074,Offers & Incentives,incentive_floor_pct,typical minimum discount (or blank),25%,A high-impact discount designed for promotions or clearance pushes.
A0075,Offers & Incentives,incentive_floor_pct,typical minimum discount (or blank),NULL,No set discount; promotions may vary or rely on non-discount incentives.
,,,,,
A0076,Exposure & Cadence,frequency_cap_per_week,suggested weekly impression cap,3,Keep exposure light to avoid fatigue while maintaining awareness.
A0077,Exposure & Cadence,frequency_cap_per_week,suggested weekly impression cap,4,Provide steady visibility without overwhelming the audience.
A0078,Exposure & Cadence,frequency_cap_per_week,suggested weekly impression cap,5,Balance repetition and recall with moderate ad pressure.
A0079,Exposure & Cadence,frequency_cap_per_week,suggested weekly impression cap,6,Increase touchpoints to stay top-of-mind for active prospects.
A0080,Exposure & Cadence,frequency_cap_per_week,suggested weekly impression cap,7,"Reach audiences daily for strong recall, best for short campaigns."
A0081,Exposure & Cadence,frequency_cap_per_week,suggested weekly impression cap,8,Apply heavier exposure to reinforce urgency or time-sensitive offers.
A0082,Exposure & Cadence,frequency_cap_per_week,suggested weekly impression cap,9,"Push high repetition to saturate attention, with some fatigue risk."
A0083,Exposure & Cadence,frequency_cap_per_week,suggested weekly impression cap,10,"Maximize impressions for dominance in-market, often at the cost of efficiency."
,,,,,
A0084,Exposure & Cadence,repetition_span_days,campaign span for reinforcement,7,"Short, high-intensity reinforcement best for flash sales or urgent offers."
A0085,Exposure & Cadence,repetition_span_days,campaign span for reinforcement,14,Two-week cycle that balances urgency with enough exposure for recall.
A0086,Exposure & Cadence,repetition_span_days,campaign span for reinforcement,21,Three-week span to sustain engagement without losing momentum.
A0087,Exposure & Cadence,repetition_span_days,campaign span for reinforcement,28,Full-month reinforcement for consistent presence and long-term impact.
,,,,,
A0088,Exposure & Cadence,daypart_focus,times of day to emphasize,morning,"Reach audiences as they start their day, ideal for news, routines, or productivity messages."
A0089,Exposure & Cadence,daypart_focus,times of day to emphasize,midday,Engage during lunch or work breaks when attention shifts to quick browsing.
A0090,Exposure & Cadence,daypart_focus,times of day to emphasize,evening,Target relaxation hours when people are more open to shopping and entertainment.
A0091,Exposure & Cadence,daypart_focus,times of day to emphasize,late_night,Capture night owls or impulse shoppers browsing outside typical hours.
,,,,,
A0092,Exposure & Cadence,weekday_vs_weekend_focus,bias toward days,weekdays,Focus on workweek engagement when audiences are in routine and responsive to practical offers.
A0093,Exposure & Cadence,weekday_vs_weekend_focus,bias toward days,weekend,Prioritize leisure-time browsing when people are more relaxed and open to exploration or indulgence.
A0094,Exposure & Cadence,weekday_vs_weekend_focus,bias toward days,balanced,Maintain steady presence across the week without favoring weekdays or weekends.
,,,,,
A0095,Exposure & Cadence,rfw_window_bucket,retargeting recency/frequency window,3d,Retarget only the freshest visitors for immediate recall and quick conversions.
A0096,Exposure & Cadence,rfw_window_bucket,retargeting recency/frequency window,7d,Capture recent interest within a week to keep momentum strong.
A0097,Exposure & Cadence,rfw_window_bucket,retargeting recency/frequency window,14d,Stay visible to mid-term prospects who may need more time to decide.
A0098,Exposure & Cadence,rfw_window_bucket,retargeting recency/frequency window,30d,Maintain a long tail of visibility for slower decision cycles or high-consideration purchases.
,,,,,
A0099,Exposure & Cadence,message_progression,how messaging should evolve over time,repeat_core,Reinforce the same core message consistently across touchpoints.
A0100,Exposure & Cadence,message_progression,how messaging should evolve over time,escalate_urgency,Increase urgency over time to drive quicker action.
A0101,Exposure & Cadence,message_progression,how messaging should evolve over time,sequential_storytelling,Deliver messages in a stepwise narrative sequence.
A0102,Exposure & Cadence,message_progression,how messaging should evolve over time,educational_nurture,"Build knowledge gradually with informative, layered content."
